Buffer size: 65536; Object size: 192; Weak refs for all: false
[GC (Allocation Failure)  19173K->6565K(22528K), 0.0147941 secs]
[GC (Allocation Failure)  18853K->6117K(22528K), 0.0115261 secs]
[GC (Allocation Failure)  18405K->5701K(22528K), 0.0065777 secs]
[GC (Allocation Failure)  17989K->5349K(22528K), 0.0010923 secs]
[GC (Allocation Failure)  17637K->6973K(22528K), 0.0215667 secs]
[GC (Allocation Failure)  19261K->6621K(22528K), 0.0139678 secs]
[GC (Allocation Failure)  18909K->6333K(22528K), 0.0135214 secs]
[GC (Allocation Failure)  18621K->5789K(22528K), 0.0060612 secs]
[GC (Allocation Failure)  18077K->5469K(22528K), 0.0014219 secs]
[GC (Allocation Failure)  17757K->7061K(22528K), 0.0191967 secs]
[GC (Allocation Failure)  19349K->6773K(22528K), 0.0153726 secs]
[GC (Allocation Failure)  19061K->6421K(22528K), 0.0099079 secs]
[GC (Allocation Failure)  18709K->5909K(22528K), 0.0063869 secs]
[GC (Allocation Failure)  18197K->5621K(22528K), 0.0012921 secs]
[GC (Allocation Failure)  17909K->7141K(22528K), 0.0182705 secs]
[GC (Allocation Failure)  19429K->6917K(22528K), 0.0197746 secs]
[GC (Allocation Failure)  19205K->6437K(22528K), 0.0102669 secs]
[GC (Allocation Failure)  18725K->6085K(22528K), 0.0069516 secs]
[GC (Allocation Failure)  18373K->5733K(22528K), 0.0014065 secs]
[GC (Allocation Failure)  18021K->7309K(22528K), 0.0168134 secs]
[GC (Allocation Failure)  19597K->6989K(22528K), 0.0155701 secs]
[GC (Allocation Failure)  19277K->6573K(22528K), 0.0097572 secs]
[GC (Allocation Failure)  18861K->6157K(22528K), 0.0053725 secs]
[GC (Allocation Failure)  18445K->5741K(22528K), 0.0020966 secs]
[GC (Allocation Failure)  18029K->7437K(22528K), 0.0217686 secs]
[GC (Allocation Failure)  19725K->7117K(22528K), 0.0182085 secs]
[GC (Allocation Failure)  19405K->6669K(22528K), 0.0124164 secs]
[GC (Allocation Failure)  18957K->6189K(22528K), 0.0051714 secs]
[GC (Allocation Failure)  18477K->5741K(22528K), 0.0016962 secs]
[GC (Allocation Failure)  18029K->7541K(22528K), 0.0231500 secs]
[GC (Allocation Failure)  19829K->7157K(22528K), 0.0175023 secs]
[GC (Allocation Failure)  19445K->6709K(22528K), 0.0113242 secs]
[GC (Allocation Failure)  18997K->6325K(22528K), 0.0060152 secs]
[GC (Allocation Failure)  18613K->5877K(22528K), 0.0011671 secs]
[GC (Allocation Failure)  18165K->7557K(22528K), 0.0213217 secs]
[GC (Allocation Failure)  19845K->7301K(22528K), 0.0129723 secs]
[GC (Allocation Failure)  19589K->6789K(22528K), 0.0110393 secs]
[GC (Allocation Failure)  19077K->6373K(22528K), 0.0060247 secs]
[GC (Allocation Failure)  18661K->6053K(22528K), 0.0011766 secs]
[GC (Allocation Failure)  18341K->7709K(22528K), 0.0218753 secs]
[GC (Allocation Failure)  19997K->7293K(22528K), 0.0189462 secs]
[GC (Allocation Failure)  19581K->6909K(22528K), 0.0101586 secs]
[GC (Allocation Failure)  19197K->6493K(22528K), 0.0060523 secs]
[GC (Allocation Failure)  18781K->6141K(22528K), 0.0010243 secs]
[GC (Allocation Failure)  18429K->7749K(22528K), 0.0239044 secs]
[GC (Allocation Failure)  20037K->7365K(22528K), 0.0172749 secs]
[GC (Allocation Failure)  19653K->6981K(22528K), 0.0093029 secs]
[GC (Allocation Failure)  19269K->6565K(22528K), 0.0056233 secs]
[GC (Allocation Failure)  18853K->6117K(22528K), 0.0011319 secs]
[GC (Allocation Failure)  18405K->7853K(22528K), 0.0219636 secs]
[GC (Allocation Failure)  20141K->7437K(22528K), 0.0180469 secs]
[GC (Allocation Failure)  19725K->7053K(22528K), 0.0118201 secs]
[GC (Allocation Failure)  19341K->6637K(22528K), 0.0060355 secs]
[GC (Allocation Failure)  18925K->6189K(22528K), 0.0017422 secs]
[GC (Allocation Failure)  18477K->7901K(22528K), 0.0225483 secs]
[GC (Allocation Failure)  20189K->7549K(22528K), 0.0182472 secs]
[GC (Allocation Failure)  19837K->7101K(22528K), 0.0097719 secs]
[GC (Allocation Failure)  19389K->6685K(22528K), 0.0059188 secs]
[GC (Allocation Failure)  18973K->6237K(22528K), 0.0015929 secs]
[GC (Allocation Failure)  18525K->8005K(22528K), 0.0219232 secs]
[GC (Allocation Failure)  20293K->7621K(22528K), 0.0138746 secs]
[GC (Allocation Failure)  19909K->7141K(22528K), 0.0115230 secs]
[GC (Allocation Failure)  19429K->6757K(22528K), 0.0058771 secs]
[GC (Allocation Failure)  19045K->6245K(22528K), 0.0017174 secs]
[GC (Allocation Failure)  18533K->8061K(22528K), 0.0221757 secs]
[GC (Allocation Failure)  20349K->7613K(22528K), 0.0140331 secs]
[GC (Allocation Failure)  19901K->7197K(22528K), 0.0094719 secs]
[GC (Allocation Failure)  19485K->6845K(22528K), 0.0061021 secs]
[GC (Allocation Failure)  19133K->6365K(22528K), 0.0014111 secs]
[GC (Allocation Failure)  18653K->8077K(22528K), 0.0230137 secs]
[GC (Allocation Failure)  20365K->7725K(22528K), 0.0144176 secs]
[GC (Allocation Failure)  20013K->7277K(22528K), 0.0105772 secs]
[GC (Allocation Failure)  19565K->6861K(22528K), 0.0057627 secs]
[GC (Allocation Failure)  19149K->6381K(22528K), 0.0015379 secs]
[GC (Allocation Failure)  18669K->8101K(22528K), 0.0220240 secs]
[GC (Allocation Failure)  20389K->7717K(22528K), 0.0143828 secs]
[GC (Allocation Failure)  20005K->7365K(22528K), 0.0096435 secs]
[GC (Allocation Failure)  19653K->6853K(22528K), 0.0051392 secs]
[GC (Allocation Failure)  19141K->6405K(22528K), 0.0016699 secs]
[GC (Allocation Failure)  18693K->8157K(22528K), 0.0202424 secs]
