[GC (Allocation Failure) -- 16884K->20476K(22528K), 0.0457224 secs]
[Full GC (Ergonomics)  20476K->16878K(22528K), 0.0545625 secs]
[GC (Allocation Failure) -- 20424K->20472K(22528K), 0.0126602 secs]
[Full GC (Ergonomics)  20472K->4551K(22528K), 0.0125157 secs]
[GC (Allocation Failure) -- 16839K->20479K(22528K), 0.0460417 secs]
[Full GC (Ergonomics)  20479K->16833K(22528K), 0.0533913 secs]
[GC (Allocation Failure) -- 20430K->20478K(22528K), 0.0124299 secs]
[Full GC (Ergonomics)  20478K->4557K(22528K), 0.0137729 secs]
[GC (Allocation Failure) -- 16845K->20477K(22528K), 0.0471547 secs]
[Full GC (Ergonomics)  20477K->16844K(22528K), 0.0557987 secs]
[GC (Allocation Failure) -- 20426K->20474K(22528K), 0.0126457 secs]
[Full GC (Ergonomics)  20474K->4552K(22528K), 0.0119190 secs]
[GC (Allocation Failure) -- 16840K->20472K(22528K), 0.0481518 secs]
[Full GC (Ergonomics)  20472K->16838K(22528K), 0.0552310 secs]
[GC (Allocation Failure) -- 20422K->20478K(22528K), 0.0141603 secs]
[Full GC (Ergonomics)  20478K->4548K(22528K), 0.0125054 secs]
[GC (Allocation Failure) -- 16836K->20476K(22528K), 0.0469926 secs]
[Full GC (Ergonomics)  20476K->16833K(22528K), 0.0536677 secs]
[GC (Allocation Failure) -- 20423K->20479K(22528K), 0.0140489 secs]
[Full GC (Ergonomics)  20479K->4550K(22528K), 0.0126344 secs]
[GC (Allocation Failure) -- 16838K->20478K(22528K), 0.0464178 secs]
[Full GC (Ergonomics)  20478K->16835K(22528K), 0.0564560 secs]
[GC (Allocation Failure) -- 20465K->20473K(22528K), 0.0149351 secs]
[Full GC (Ergonomics)  20473K->4591K(22528K), 0.0132925 secs]
[GC (Allocation Failure) -- 16879K->20479K(22528K), 0.0536839 secs]
[Full GC (Ergonomics)  20479K->16875K(22528K), 0.0580605 secs]
[GC (Allocation Failure) -- 20427K->20475K(22528K), 0.0150006 secs]
[Full GC (Ergonomics)  20475K->4554K(22528K), 0.0141987 secs]
[GC (Allocation Failure) -- 16842K->20474K(22528K), 0.0510545 secs]
[Full GC (Ergonomics)  20474K->16833K(22528K), 0.0557789 secs]
[GC (Allocation Failure) -- 20423K->20479K(22528K), 0.0153038 secs]
[Full GC (Ergonomics)  20479K->4551K(22528K), 0.0142887 secs]
[GC (Allocation Failure) -- 16839K->20479K(22528K), 0.0506357 secs]
[Full GC (Ergonomics)  20479K->16837K(22528K), 0.0604684 secs]
[GC (Allocation Failure) -- 20429K->20477K(22528K), 0.0142202 secs]
[Full GC (Ergonomics)  20477K->4556K(22528K), 0.0141541 secs]
[GC (Allocation Failure) -- 16844K->20476K(22528K), 0.0458457 secs]
[Full GC (Ergonomics)  20476K->16840K(22528K), 0.0530141 secs]
[GC (Allocation Failure) -- 20463K->20479K(22528K), 0.0125286 secs]
[Full GC (Ergonomics)  20479K->4589K(22528K), 0.0123337 secs]
[GC (Allocation Failure) -- 16877K->20477K(22528K), 0.0466983 secs]
[Full GC (Ergonomics)  20477K->16874K(22528K), 0.0536029 secs]
[GC (Allocation Failure) -- 20426K->20474K(22528K), 0.0122777 secs]
[Full GC (Ergonomics)  20474K->4553K(22528K), 0.0123266 secs]
[GC (Allocation Failure) -- 16841K->20473K(22528K), 0.0461874 secs]
[Full GC (Ergonomics)  20473K->16833K(22528K), 0.0540438 secs]
[GC (Allocation Failure) -- 20421K->20477K(22528K), 0.0127796 secs]
